Key,Source,Context,Changes,English,Russian,Spanish
reqFearZombie,progression,Attribute,,Kill more zombies,Убивайте больше зомби,Mata más zombis
reqFearFire,progression,Attribute,,Spend more time by the fire,Проводите больше времени у огня,Pasa más tiempo cerca del fuego
reqFearPain,progression,Attribute,,Overcome the pain,Превозмогайте боль,Supera el dolor
reqSocialPhobia,progression,Attribute,,Spend more time as a team,Проводите больше времени в команде,Pasa más tiempo en equipo
reqUnlucker,progression,Attribute,,Kill more zombies,Убивайте больше зомби,Mata más zombis
reqCrusher,progression,Attribute,,Smash heads with a sledgehammer,Разносите головы кувалдой,Rompe cabezas con un mazo
reqFearless,progression,Attribute,,Get used to stress,Привыкайте к стрессу,Acostúmbrate al estrés
reqVeteranWasteland,progression,Attribute,,Kill the bosses,Убивайте боссов,Mata a los jefes
reqSchumacher,progression,Attribute,,Get behind the wheel more often,Садитесь за руль чаще,Ponte al volante más a menudo

reqAthleticBuild,progression,Attribute,,Develop your body,Развивайте тело,Desarrolla tu cuerpo
reqBodybuilder,progression,Attribute,,Pump up your muscles,Качайте мышцы,Desarrolla tus músculos
reqFastAdaptation,progression,Attribute,,Develop immunity,Развивайте иммунитет,Desarrolla inmunidad
reqHardening,progression,Attribute,,Get tough,Закаляйтесь,Endurece

st_negchallenge_statement,Quest,Quest Info,,Activate the challenge,Активируйте испытание,Activar el desafío
st_negchallenge_subtitle,Quest,Quest Info,,Activate the challenge,Активируйте испытание,Activar el desafío

seasonChallangeYautjaBundle,items,Item,,[E092FF]Season Challenge[-],[E092FF]Сезонное испытание[-],[E092FF]Desafío de temporada[-]
seasonChallangeYautjaBundleDesc,items,Item,,"Contains items for the [E092FF]Yautja[-] Seasonal Challenge launch and cancellation. This challenge significantly increases gameplay difficulty, so think twice before activating. All character progression will be reset upon launch. BE CAREFUL! READ THE TERMS AND CONDITIONS CAREFULLY AT LAUNCH!","Содержит предметы запуска и отмены сезонного испытания [E092FF]Яутжа[-]. Испытание значительно усложняет игровой процесс, подумайте дважды перед активацией. При запуске события вся прогрессия персонажа будет сброшена. БУДЬТЕ ОСТОРОЖНЫ! ВНИМАТЕЛЬНО ПРОЧИТАЙТЕ УСЛОВИЯ ПРИ ЗАПУСКЕ!", "Contiene artículos para el lanzamiento y la cancelación del Desafío de Temporada de [E092FF]Yautja[-]. Este desafío aumenta significativamente la dificultad del juego, así que piénsalo dos veces antes de activarlo. El progreso de todos los personajes se reiniciará al lanzarse. ¡ATENCIÓN! ¡LEE LOS TÉRMINOS Y CONDICIONES DETENIDAMENTE AL LANZARSE!"
setNegativeSelfTraits,items,Item,,[E092FF]Season Challenge[-] Yautja,[E092FF]Сезонное испытание[-] Яутжа,[E092FF]Desafío de temporada[-] Yautja
setNegativeSelfTraitsDesc,items,Item,,"«You have a chance to prove that even the weakest can survive, but it will require significantly more effort. Think twice before you start - once the test is activated, there is no turning back. All positive personal traits will be reset, and negative ones will be raised to level 3. Your goal is to survive and reach the maximum level. Your experience and perseverance are your only helpers. Good luck in your suffering!» [DECEA3]- Black Rabbit[-]","«У тебя есть шанс доказать что выжить может даже самый слабый, но для этого потребуется значительно больше усилий. Подумай дважды перед запуском - после активации испытания пути обратно не будет. Все положительные личные качества будут сброшены, а негативные повышены до 3 уровня. Твоя задача выжить и достичь максимального уровня. Твой опыт и упорство единственные помощники. Удачи в твоих страданиях!» [DECEA3]- Чёрный кролик[-]", "«Tienes la oportunidad de demostrar que incluso los más débiles pueden sobrevivir, pero requerirá mucho más esfuerzo. Piénsalo dos veces antes de empezar: una vez activada la prueba, no hay vuelta atrás. Todos los rasgos personales positivos se restablecerán y los negativos se elevarán al nivel 3. Tu objetivo es sobrevivir y alcanzar el nivel máximo. Tu experiencia y perseverancia son tus únicas ayudas. ¡Mucha suerte en tu sufrimiento!» [DECEA3]- Conejo Negro[-]"
exitChallenge,items,Item,,[E092FF]Season Challenge[-] Yautja [DECEA3]Cancel[-],[E092FF]Сезонное испытание[-] Яутжа [DECEA3]Отмена[-],[E092FF]Desafío de temporada[-] Yautja [DECEA3]Cancelar[-]
exitChallengeDesc,items,Item,,"Cancels the test and allows you to redistribute self traits","Отменяет испытание и позволяет заново распределить личные качества","Cancela la prueba y te permite redistribuir los rasgos propios."

YautjaCancelTooltip,items,Admin,,You cancelled the Yautja challenge,Вы отменили испытание Яутжа,Cancelaste el desafío Yautja

buffYautja,buffs,Buff,,[E092FF]Yautja[-],[E092FF]Яутжа[-],[E092FF]Yautja[-]
buffYautjaName,buffs,buff,,Season Challenge,Сезонное испытание,Desafío de temporada
buffYautjaTooltip,buffs,buff,,You have activated the Yautja challenge,Вы активировали испытание Яутжа,Has activado el desafío Yautja
buffYautjaDesc,buffs,Buff,,"You've activated the [E092FF]Yautja[-] challenge, and now you face a challenging journey of survival in extreme conditions. Complete this journey and prove yourself the strongest in the wasteland.","Вы активировали испытание [E092FF]Яутжа[-] и теперь вам предстоит сложный путь выживания в экстримальных условиях. Пройдите этот путь, и докажите что вы сильнейший в пустоше.","Has activado el desafío [E092FF]Yautja[-] y ahora te enfrentas a un desafiante viaje de supervivencia en condiciones extremas. Completa esta aventura y demuestra que eres el más fuerte del Yermo."

selfTraitsChallengeName,Quest,Quest Info,,[E092FF]Season Challenge[-] Yautja,[E092FF]Сезонное испытание[-] Яутжа,[E092FF]Desafío de temporada[-] Yautja
selfTraitsChallengeOffer,Quest,Quest Info,,"«You have a chance to prove that even the weakest can survive, but it will require significantly more effort. Think twice before you start - once the test is activated, there is no turning back. All positive personal traits will be reset, and negative ones will be raised to level 3. Your goal is to survive and reach the maximum level. Your experience and perseverance are your only helpers. Good luck in your suffering!» [DECEA3]- Black Rabbit[-]\n\n[FF0000]WARNING! Activating the challenge resets all current character progression. While the challenge is active, using character reset items will not work.[-]","«У тебя есть шанс доказать что выжить может даже самый слабый, но для этого потребуется значительно больше усилий. Подумай дважды перед запуском - после активации испытания пути обратно не будет. Все положительные личные качества будут сброшены, а негативные повышены до 3 уровня. Твоя задача выжить и достичь максимального уровня. Твой опыт и упорство единственные помощники. Удачи в твоих страданиях!» [DECEA3]- Чёрный кролик[-]\n\n[FF0000]ВНИМАНИЕ! Активация испытания сбрасывает всю текущую прогрессию персонажа. Пока активно испытание использование предметов сброса личных качеств не будет работать.[-]", "«Tienes la oportunidad de demostrar que incluso los más débiles pueden sobrevivir, pero requerirá mucho más esfuerzo. Piénsalo dos veces antes de empezar: una vez activada la prueba, no hay vuelta atrás. Todos los rasgos personales positivos se restablecerán y los negativos se elevarán al nivel 3. Tu objetivo es sobrevivir y alcanzar el nivel máximo. Tu experiencia y perseverancia son tus únicas ayudas. ¡Mucha suerte en tu sufrimiento!» [DECEA3]- Conejo Negro[-]\n\n[FF0000] ¡ADVERTENCIA! Al activar el desafío, se reinicia todo el progreso actual del personaje. Mientras el desafío esté activo, no se podrán usar objetos de reinicio de personaje.[-]"

selfTraitsChallengePromptTitle,Quest,Quest Info,,Activate Yautja [E092FF]Seasonal Challenge[-]?,Активировать [E092FF]Сезонное испытание[-] Яутжа?,Activar de Yautja[E092FF]Desafío de temporada[-]?
selfTraitsChallengePromptDesc,Quest,Quest Info,,"«[FF0000]WARNING! Activating the challenge resets all current character progression. While the challenge is active, using character reset items will not work.[-]","[FF0000]ВНИМАНИЕ! Активация испытания сбрасывает всю текущую прогрессию персонажа. Пока активно испытание использование предметов сброса личных качеств не будет работать.[-]", "[FF0000] ¡ADVERTENCIA! Al activar el desafío, se reinicia todo el progreso actual del personaje. Mientras el desafío esté activo, no se podrán usar objetos de reinicio de personaje.[-]"

challenge_reward_selfTraits,Challenges,Rewards,,100 XP and New Self Traits,100 XP и новые личные качества,100 XP y Nuevos Rasgos Personales

TraitsCharacterRefresh,items,item,,Reset of self traits,Сброс личных качеств,Restablecer rasgos personales
TraitsCharacterRefreshDesc,items,item,,"Activating the item will reset the character's self traits and generate them anew.\n\n[DECEA3]Character generation automatically assigns 4-8 positive and 6-14 negative points self traits. Be careful when resetting. There is no guarantee that each subsequent portrait will be better than the previous one.[-]","Активация предмета позволит сбросить личные качества персонажа и сгенерировать их заново.\n\n[DECEA3]Генерация персонажа автоматически назначает 4-8 положительных и 6-14 отрицательных очков личных качеств. Будьте внимательны при сбросе. Нет никакой гарантии, что каждый следующий результат будет лучше предыдущего.[-]", "Activar el objeto restablecerá los rasgos personales del personaje y los generará de nuevo.\n\n[DECEA3]La generación de personajes asigna automáticamente de 4 a 8 puntos de rasgos personales positivos y de 6 a 14 puntos de rasgos personales negativos. Ten cuidado al restablecer. No hay garantía de que cada retrato posterior sea mejor que el anterior.[-]"

NegativeTraits0,items,item,,Reset of negative traits,Сброс негативных качеств,Restablecer rasgos negativos
NegativeTraits0Desc,items,item,,"Activating the item resets all negative character traits to 0.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета сбрасывает все негативные качеста персонажа в 0.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto, se restablecen todos los rasgos de carácter negativos a 0.\n\n[DECEA3]No funciona si el desafío de temporada de Yautja está en curso.[-]"

TraitGenius3,items,item,,Genius level 3,Гениальность 3 ур.,Nivel de genio 3
TraitGenius3Desc,items,item,,"Activating the item increases the personal quality Genius to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Гениальность до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Genio al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitAthleticBuild3,items,item,,Athletic Build level 3,Атлетическое телосложение 3 ур.,Nivel de Complexión atlética 3
TraitAthleticBuild3Desc,items,item,,"Activating the item increases the personal quality Athletic Build to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Атлетическое телосложение до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Complexión atlética al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitCourage3,items,item,,Courage level 3,Отвага 3 ур.,Nivel de Coraje 3
TraitCourage3Desc,items,item,,"Activating the item increases the personal quality Courage to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Отвага до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Coraje al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitBodybuilder3,items,item,,Bodybuilder level 3,Бодибилдер 3 ур.,Nivel de Carrocero 3
TraitBodybuilder3Desc,items,item,,"Activating the item increases the personal quality Bodybuilder to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Бодибилдер до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Carrocero al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitLuckyGuy3,items,item,,Lucky Guy level 3,Счастливчик 3 ур.,Nivel de Chico afortunado 3
TraitLuckyGuy3Desc,items,item,,"Activating the item increases the personal quality Lucky Guy to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Счастливчик до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Chico afortunado al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitJackOfAllTrades3,items,item,,Jack Of All Trades level 3,На все руки мастер 3 ур.,Nivel de Un manitas 3
TraitJackOfAllTrades3Desc,items,item,,"Activating the item increases the personal quality Jack Of All Trades to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество На все руки мастер до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Un manitas al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitCharismatic3,items,item,,Charismatic level 3,Харизматичность 3 ур.,Nivel de Carisma 3
TraitCharismatic3Desc,items,item,,"Activating the item increases the personal quality Charismatic to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Харизматичность до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Carisma al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitExperiencedHunter3,items,item,,Experienced Hunter level 3,Опытный охотник 3 ур.,Nivel de Un cazador experimentado 3
TraitExperiencedHunter3Desc,items,item,,"Activating the item increases the personal quality Experienced Hunter to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Опытный охотник до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Un cazador experimentado al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitCrusher3,items,item,,Crusher level 3,Крушитель 3 ур.,Nivel de Trituradora 3
TraitCrusher3Desc,items,item,,"Activating the item increases the personal quality Crusher to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Крушитель до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Trituradora al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitFearless3,items,item,,Fearless level 3,Холодный ум 3 ур.,Nivel de Mente fría 3
TraitFearless3Desc,items,item,,"Activating the item increases the personal quality Fearless to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Холодный ум до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Mente fría al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitVeteranWasteland3,items,item,,Veteran Wasteland level 3,Ветеран пустоши 3 ур.,Nivel de Veterano del Yermo 3
TraitVeteranWasteland3Desc,items,item,,"Activating the item increases the personal quality Veteran Wasteland to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Ветеран пустоши до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Veterano del Yermo al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitSchumacher3,items,item,,Schumacher level 3,Шумахер 3 ур.,Nivel de Schumacher 3
TraitSchumacher3Desc,items,item,,"Activating the item increases the personal quality Schumacher to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Шумахер до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Schumacher al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"
TraitTeamPlayer3,items,item,,Team Player level 3,Командный игрок 3 ур.,Nivel de Jugador de equipo 3
TraitTeamPlayer3Desc,items,item,,"Activating the item increases the personal quality Team Player to level 3.\n\n[DECEA3]Does not work if the Yautja Seasonal Challenge is running.[-]","Активация предмета прокачивает личное качество Командный игрок до 3 уровня.\n\n[DECEA3]Не работает если запущено сезонное испытание Яутжа.[-]", "Al activar el objeto se aumenta la cualidad personal Jugador de equipo al nivel 3.\n\n[DECEA3]No funciona si el Desafío de temporada de Yautja está en curso.[-]"

atttselftraits,progression,Attribute,,Self Traits,Личные качества,Rasgos Personales
atttselftraitsDesc,progression,Attribute,,No skill points are required here. The character's personal self traits are formed automatically at the beginning of the game. You can change positive or negative traits during the game.,Здесь не требуются очки навыков. Личные качества персонажа формируются после исользования книги «Личных качеств». Вы можете поменять положительные или отрицательные качества в процессе игры.,Aquí no se requieren puntos de habilidad. Los rasgos personales del personaje se forman automáticamente al comienzo del juego. Puedes cambiar los rasgos positivos o negativos durante el juego.

skillNegativeTraitsName,progression,perk,,Negative Traits,Отрицательные,Rasgos Negativos
skillPositiveTraitsName,progression,perk,,Positive Traits,Положительные,Rasgos Positivos

Traits_title,Journal Tip,,,The character's personality is formed,Личность персонажа сформирована,La personalidad del personaje está formada
Traits_message,Journal Tip,,,"Your character's personal traits have been formed.\n\nYou have gained [5AFF75]{cvar(.PosTraitsCount:0)} positive[-] and [FF2B2B]{cvar(.NegTraitsCount:0)} negative[-] traits points.","Личные качества вашего персонажа сформированы.\n\nВы получили [5AFF75]{cvar(.PosTraitsCount:0)} положительных[-] и [FF2B2B]{cvar(.NegTraitsCount:0)} отрицательных[-] очков качеств.","Se han formado los rasgos personales de tu personaje.\n\nHas ganado [5AFF75]{cvar(.PosTraitsCount:0)} puntos de rasgos positivos[-] y [FF2B2B]{cvar(.NegTraitsCount:0)} puntos de rasgos negativos[-]."

perkRank1Desc,progression,Skills,,Level 1,Уровень 1,Nivel 1
perkRank2Desc,progression,Skills,,Level 2,Уровень 2,Nivel 2
perkRank3Desc,progression,Skills,,Level 3,Уровень 3,Nivel 3

=== NEGATIVE PERKS ===

perkDementiaName,progression,perk,,Dementia,Слабоумие,Demencia
perkDementiaDesc,progression,perk,,"[FFB800]Reading[-] books, magazines, or recipes reduces the counter by [DECEA3]1[-].","[FFB800]Прочтение[-] книг, журналов или рецептов снижают счетчик на [DECEA3]1[-].","[FFB800]Leer[-] libros, revistas o recetas lo reduce en [DECEA3]1[-]."
perkDementiaRank1LongDesc,progression,Skills,,"You have mild dementia. All experience you gain is reduced by [DECEA3]10%.[-]\n\n[FFB800]Remaining: {cvar(.BooksReadWorse1:0)}[-]","У вас легкое слабоумие. Весь получаемый вами опыт снижен на [DECEA3]10%.[-]\n\n[FFB800]Осталось: {cvar(.BooksReadWorse1:0)}[-]","Tienes demencia leve. Toda la experiencia que ganes se reduce en un [DECEA3]10%.[-]\n\n[FFB800]Restante: {cvar(.BooksReadWorse1:0)}[-]"
perkDementiaRank2LongDesc,progression,Skills,,"You are demented. All experience you gain is reduced by [DECEA3]20%.[-]\n\n[FFB800]Remaining: {cvar(.BooksReadWorse2:0)}[-]","У вас слабоумие. Весь получаемый вами опыт снижен на [DECEA3]20%.[-]\n\n[FFB800]Осталось: {cvar(.BooksReadWorse2:0)}[-]","Estás demente. Toda la experiencia que ganes se reduce en un [DECEA3]20%.[-]\n\n[FFB800]Restante: {cvar(.BooksReadWorse2:0)}[-]"
perkDementiaRank3LongDesc,progression,Skills,,"You're as dumb as a brick. All experience you gain has been reduced by [DECEA3]30%.[-]\n\n[FFB800]Remaining: {cvar(.BooksReadWorse3:0)}[-]","Вы тупой как пробка. Весь получаемый вами опыт снижен на [DECEA3]30%.[-]\n\n[FFB800]Осталось: {cvar(.BooksReadWorse3:0)}[-]","Eres un completo tonto. Toda la experiencia que ganas se ha reducido en un [DECEA3]30%.[-]\n\n[FFB800]Restante: {cvar(.BooksReadWorse3:0)}[-]"

perkObesityName,progression,perk,,Obesity,Ожирение,Obesidad
perkObesityDesc,progression,perk,,"Fullness should be in moderation. It is extremely difficult to survive if excess weight interferes with movement.","[FFB800]Каждую секунду[-] вы снижаете на [DECEA3]1[-] когда бегаете, на [DECEA3]4[-] при кардиотренировках, на [DECEA3]2[-] при силовых тренировках. Также на [DECEA3]2[-] при прыжках или обычной атаке, и на [DECEA3]4[-] при силовых атаках оружием или инструментом.","La plenitud debe ser con moderación. Es extremadamente difícil sobrevivir si el exceso de peso interfiere con el movimiento."
perkObesityRank1LongDesc,progression,Skills,,"You are moderately overweight. While digesting food, your mobility is reduced by [DECEA3]7.5%[-] and stamina consumption is increased by [DECEA3]15%[-]. Also, your jump height is reduced by [DECEA3]10%[-] and the rate at which your food supply is consumed during physical activity is increased.\n\n[FFB800]Remaining: {cvar(.TimerObesity1:0)}[-]","У вас умеренная полнота. Во время усвоения пищи ваша мобильность снижена [DECEA3]7,5%[-]. Расход выносливости увеличен на [DECEA3]15%[-]. На [DECEA3]10%[-] уменьшена сила прыжка и увеличена скорость расхода запаса пищи при физических нагрузках.\n\n[FFB800]Осталось: {cvar(.TimerObesity1:0)}[-]","Tienes un sobrepeso moderado. Mientras digieres alimentos, tu movilidad se reduce en un [DECEA3]7.5%[-] y el consumo de resistencia aumenta en un [DECEA3]15%[-]. Además, tu altura de salto se reduce en un [DECEA3]10%[-] y la tasa a la que se consume tu suministro de alimentos durante la actividad física aumenta.\n\n[FFB800]Restante: {cvar(.TimerObesity1:0)}[-]"
perkObesityRank2LongDesc,progression,Skills,,"You are fat. While digesting food, your mobility is reduced by [DECEA3]15%[-] and stamina consumption is increased by [DECEA3]30%[-]. Also, your jump height is reduced by [DECEA3]20%[-] and the rate at which your food supply is consumed during physical activity is increased.\n\n[FFB800]Remaining: {cvar(.TimerObesity2:0)}[-]","Вы толстый. Во время усвоения пищи, ваша мобильность снижена [DECEA3]15%[-]. Расход выносливости увеличен на [DECEA3]30%[-]. На [DECEA3]20%[-] уменьшена сила прыжка и увеличена скорость расхода запаса пищи при физических нагрузках.\n\n[FFB800]Осталось: {cvar(.TimerObesity2:0)}[-]","Estás gordo. Mientras digieres alimentos, tu movilidad se reduce en un [DECEA3]15%[-] y el consumo de resistencia aumenta en un [DECEA3]30%[-]. Además, tu altura de salto se reduce en un [DECEA3]20%[-] y la tasa a la que se consume tu suministro de alimentos durante la actividad física aumenta.\n\n[FFB800]Restante: {cvar(.TimerObesity2:0)}[-]"
perkObesityRank3LongDesc,progression,Skills,,"You are a real fatso. While digesting food, your mobility is reduced by [DECEA3]25%[-] and stamina consumption is increased by [DECEA3]50%[-]. Also, your jump height is reduced by [DECEA3]30%[-] and the rate at which your food supply is consumed during physical activity is increased.\n\n[FFB800]Remaining: {cvar(.TimerObesity3:0)}[-]","Вы настоящий жирдяй. Во время усвоения пищи, ваша мобильность снижена [DECEA3]25%[-]. Расход выносливости увеличен на [DECEA3]50%[-]. На [DECEA3]30%[-] уменьшена сила прыжка и увеличена скорость расхода запаса пищи при физических нагрузках.\n\n[FFB800]Осталось: {cvar(.TimerObesity3:0)}[-]","Eres un verdadero gordinflón. Mientras digieres alimentos, tu movilidad se reduce en un [DECEA3]25%[-] y el consumo de resistencia aumenta en un [DECEA3]50%[-]. Además, tu altura de salto se reduce en un [DECEA3]30%[-] y la tasa a la que se consume tu suministro de alimentos durante la actividad física aumenta.\n\n[FFB800]Restante: {cvar(.TimerObesity3:0)}[-]"

perkDistrophiaName,progression,perk,,Distrophia,Дистрофия,Distrofia
