Key,Source,Context,Changes,English,Russian,Spanish
cntHardenedChestSecureT5Storage,blocks,Container,,[DECEA3]Storage[-] Large Hardened Chest,[DECEA3]Хранилище:[-] Огромный прочный сундук,[DECEA3]Almacenamiento[-] Cofre Endurecido Grande
cntHardenedChestSecureT5StorageDesc,blocks,Container,,Large hardened chest for storing 100 items,Большой прочный сундук для хранения 100 предметов.,Un cofre endurecido grande para almacenar 100 objetos.

zStoragePileVariantHelper,blocks,Variant,,[DECEA3]Storage[-] Pile of resources,[DECEA3]Хранилище:[-] Куча ресурсов,[DECEA3]Almacenamiento[-] Pila de recursos
zStoragePileVariantHelperDesc,blocks,Variant,,Set of storages from resources,Набор хранилищ из ресурсов.,Conjunto de almacenes de recursos.

cntAmmoPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Ammo Pile Small,[DECEA3]Хранилище:[-] Небольшая куча боеприпасов,[DECEA3]Almacenamiento[-] Pila de Munición Pequeña
cntAmmoPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Ammo Pile Medium,[DECEA3]Хранилище:[-] Средняя куча боеприпасов,[DECEA3]Almacenamiento[-] Pila de Munición Mediana
cntAmmoPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Ammo Pile Large,[DECEA3]Хранилище:[-] Большая куча боеприпасов,[DECEA3]Almacenamiento[-] Pila de Munición Grande
cntChemPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Chemistry Pile Small,[DECEA3]Хранилище:[-] Небольшая куча химии,[DECEA3]Almacenamiento[-] Pila de Química Pequeña
cntChemPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Chemistry Pile Medium,[DECEA3]Хранилище:[-] Средняя куча химии,[DECEA3]Almacenamiento[-] Pila de Química Mediana
cntChemPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Chemistry Pile Large,[DECEA3]Хранилище:[-] Большая куча химии,[DECEA3]Almacenamiento[-] Pila de Química Grande
cntMedicPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Medical Pile Small,[DECEA3]Хранилище:[-] Небольшая куча медикаментов,[DECEA3]Almacenamiento[-] Pila Médica Pequeña
cntMedicPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Medical Pile Large,[DECEA3]Хранилище:[-] Большая куча медикаментов,[DECEA3]Almacenamiento[-] Pila Médica Grande
cntFoodPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Food Pile Small,[DECEA3]Хранилище:[-] Небольшая куча еды,[DECEA3]Almacenamiento[-] Pila de Comida Pequeña
cntFoodPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Food Pile Medium,[DECEA3]Хранилище:[-] Средняя куча еды,[DECEA3]Almacenamiento[-] Pila de Comida Mediana
cntFoodPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Food Pile Large,[DECEA3]Хранилище:[-] Большая куча еды,[DECEA3]Almacenamiento[-] Pila de Comida Grande
cntBookPileSmallStorage,blocks,Container,,[DECEA3]Storage[-] Books Pile Small,[DECEA3]Хранилище:[-] Небольшая куча книг,[DECEA3]Almacenamiento[-] Pila de Libros Pequeña
cntBookPileMediumStorage,blocks,Container,,[DECEA3]Storage[-] Books Pile Medium,[DECEA3]Хранилище:[-] Средняя куча книг,[DECEA3]Almacenamiento[-] Pila de Libros Mediana
cntBookPileLargeStorage,blocks,Container,,[DECEA3]Storage[-] Books Pile Large,[DECEA3]Хранилище:[-] Большая куча книг,[DECEA3]Almacenamiento[-] Pila de Libros Grande

zStorageUniversalVariantHelper,blocks,Variant,,[DECEA3]Storage[-] Universal,[DECEA3]Хранилище:[-] Универсальное,[DECEA3]Almacenamiento[-] Universal
zStorageUniversalVariantHelperDesc,blocks,Variant,,Universal Storage Set,Набор универсальных хранилищ.,Conjunto de almacenamiento universal.

MunitionsBoxArmyStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения,[DECEA3]Almacenamiento[-] Caja de equipo
MunitionsBoxArmyRedStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения,[DECEA3]Almacenamiento[-] Caja de equipo
MunitionsBoxArmyOrangeStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения,[DECEA3]Almacenamiento[-] Caja de equipo
MunitionsBoxArmyGreenStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения,[DECEA3]Almacenamiento[-] Caja de equipo
MunitionsBoxArmyBlueStorage,blocks,Container,,[DECEA3]Storage[-] Equipment box,[DECEA3]Хранилище:[-] Коробка для снаряжения,[DECEA3]Almacenamiento[-] Caja de equipo

WeaponsBagSmallStorage,blocks,Container,,[DECEA3]Storage[-] Weapon Bag Small,[DECEA3]Хранилище:[-] Небольшая сумка для оружия,[DECEA3]Almacenamiento[-] Bolsa de Armas Pequeña
WeaponsBagBigStorage,blocks,Container,,[DECEA3]Storage[-] Weapon Bag Large,[DECEA3]Хранилище:[-] Большая сумка для оружия,[DECEA3]Almacenamiento[-] Bolsa de Armas Grande

PillCaseStorage,blocks,Container,,[DECEA3]Storage[-] Medical Cabinet,[DECEA3]Хранилище:[-] Медицинский шкафчик,[DECEA3]Almacenamiento[-] Gabinete Médico
GunRackSmallStorage,blocks,Container,,[DECEA3]Storage[-] Armor Rack Small,[DECEA3]Хранилище:[-] Малый стеллаж для брони,[DECEA3]Almacenamiento[-] Estante de Armadura Pequeño
GunRackLargeStorage,blocks,Container,,[DECEA3]Storage[-] Gun Rack Large,[DECEA3]Хранилище:[-] Большая стойка для оружия,[DECEA3]Almacenamiento[-] Estante de Armas Grande
MannequinMilitaryCommandoStorage,blocks,Container,,[DECEA3]Storage[-] Mannequin,[DECEA3]Хранилище:[-] Манекен,[DECEA3]Almacenamiento[-] Maniquí

zStorageBoxVariantHelper,blocks,Variant,,[DECEA3]Storage[-] Boxes,[DECEA3]Хранилище:[-] Ящики,[DECEA3]Almacenamiento[-] Cajas
zStorageBoxVariantHelperDesc,blocks,Variant,,Set of drawers,Набор ящиков.,Juego de cajones.

ShippingCrateShamwayStorage,blocks,Container,,[DECEA3]Storage[-] Shamway Box,[DECEA3]Хранилище:[-] Ящик «Срамвэй»,[DECEA3]Almacenamiento[-] Caja Shamway
ShippingCrateLabEquipmentStorage,blocks,Container,,[DECEA3]Storage[-] Pop-N-Pills Box,[DECEA3]Хранилище:[-] Ящик «Шприцы и таблетки»,[DECEA3]Almacenamiento[-] Caja Pop-N-Pills
ShippingCrateBookStorage,blocks,Container,,[DECEA3]Storage[-] Crack-A-Book Box,[DECEA3]Хранилище:[-] Ящик «Книжный червь»,[DECEA3]Almacenamiento[-] Caja Crack-A-Book
ShippingCrateCarPartsStorage,blocks,Container,,[DECEA3]Storage[-] Pass-N-Gas Box,[DECEA3]Хранилище:[-] Ящик «Притормози»,[DECEA3]Almacenamiento[-] Caja Pass-N-Gas
ShippingCrateShotgunMessiahStorage,blocks,Container,,[DECEA3]Storage[-] Shotgun Messiah Box,[DECEA3]Хранилище:[-] Ящик «Shotgun Messiah»,[DECEA3]Almacenamiento[-] Caja Shotgun Messiah
ShippingCrateWorkingStiffsStorage,blocks,Container,,[DECEA3]Storage[-] Working Stiff Box,[DECEA3]Хранилище:[-] Ящик «Пролетарий»,[DECEA3]Almacenamiento[-] Caja Working Stiff
ShippingCrateSavageCountryStorage,blocks,Container,,[DECEA3]Storage[-] Savage Country Box,[DECEA3]Хранилище:[-] Ящик «Savage Country»,[DECEA3]Almacenamiento[-] Caja Savage Country
ShippingCrateMoPowerElectronicsStorage,blocks,Container,,[DECEA3]Storage[-] Mo Power Electronics Box,[DECEA3]Хранилище:[-] Ящик «Mo Power Electronics»,[DECEA3]Almacenamiento[-] Caja Mo Power Electronics
